Class-A;Class-B-L1;Class-B-dims-nearer;Class-B-within-stddev;Class-B-excl-within-stddev
n07920052;n03063599;n03063599;n07932039;n03063599
n01616318;n01608432;n01614925;n03976657;n01614925
n03498962;n03481172;n03481172;n03481172;n03481172
n03602883;n03793489;n03793489;n03793489;n04074963
n02106166;n02106030;n02106030;n02106030;n02106030
n02268443;n02268853;n02268853;n02268853;n02268853
n07697313;n07697537;n07697537;n07697537;n07697537
n03710193;n02747177;n02747177;n02747177;n03425413
n04192698;n04476259;n04476259;n04476259;n03724870
n02793495;n02859443;n02859443;n02859443;n02859443
n02423022;n02422699;n02422699;n02422699;n02422699
n01518878;n02012849;n02437312;n02012849;n02012849
n02883205;n04591157;n04591157;n04591157;n04591157
n02128385;n02128925;n02128925;n02128925;n02128925
n02106662;n02105162;n02105162;n02091467;n02105162
n02364673;n02342885;n02342885;n02342885;n02342885
n02110341;n02109047;n02109047;n02109047;n02100236
n03888257;n02782093;n02782093;n02782093;n02782093
n02395406;n02396427;n02396427;n02396427;n02396427
n02102318;n02102480;n02102480;n02102480;n02102480
n01531178;n01530575;n01530575;n01530575;n01530575
n02123045;n02124075;n02124075;n02123159;n02123159
n07880968;n07579787;n07579787;n07579787;n07583066
n07720875;n07717410;n07718472;n07718472;n07716358
n01770393;n01985128;n01978455;n01985128;n01985128
n04347754;n03216828;n03216828;n03216828;n03216828
n02655020;n02526121;n02526121;n02526121;n02526121
n02526121;n02655020;n02655020;n02655020;n02655020
n10565667;n04251144;n04251144;n04251144;n04251144
n04409515;n02799071;n02799071;n02799071;n02799071
n02992529;n03485407;n03485407;n03485407;n03485407
n03424325;n03868863;n03868863;n03868863;n03868863
n03452741;n04515003;n04515003;n04515003;n04515003
n02094433;n02097658;n02097658;n02097658;n02097658
n02071294;n02066245;n02066245;n02066245;n02066245
n02701002;n03769881;n03769881;n03769881;n03769881
n02128757;n02127052;n02127052;n02127052;n02130308
n02909870;n02747177;n02747177;n02747177;n04204238
n03676483;n04116512;n04116512;n04116512;n03314780
n01748264;n01740131;n01737021;n01740131;n01728920
n07714990;n07715103;n07715103;n07715103;n07715103
n04266014;n04008634;n03773504;n03773504;n04008634
n04146614;n03345487;n03345487;n03345487;n04487081
n02510455;n02132136;n02134418;n02134084;n02132136
n02138441;n02137549;n02137549;n02137549;n02137549
n02226429;n02229544;n02229544;n02229544;n02229544
n03124170;n04259630;n04259630;n04259630;n04259630
n02109525;n02111500;n02111500;n02111129;n02111129
n02096585;n02108915;n02108915;n02108915;n02108915
n02134084;n02132136;n02132136;n02132136;n02132136
n03594945;n04461696;n04461696;n04461696;n03930630
n02098286;n02096177;n02097298;n02096177;n02096177
n02108089;n02108422;n02108422;n02108422;n02108422
n02363005;n02444819;n02444819;n02444819;n02361337
n02009912;n02012849;n02012849;n02012849;n02006656
n02802426;n04540053;n04540053;n04540053;n04540053
n02106550;n02089078;n02089078;n02089078;n02089078
n02769748;n04026417;n04026417;n04026417;n03709823
n02841315;n03692522;n03692522;n03692522;n04069434
n03481172;n03498962;n03498962;n03498962;n03498962
n01983481;n01985128;n01985128;n01985128;n01985128
n01820546;n01818515;n01818515;n01818515;n01818515
n12267677;n12768682;n12768682;n12768682;n12768682
n03775071;n04599235;n04599235;n04599235;n04599235
n04147183;n04612504;n04612504;n04612504;n04612504
n04133789;n03047690;n03047690;n03047690;n03680355
n07697537;n07697313;n07697313;n07697313;n07697313
n09835506;n02799071;n02799071;n02799071;n02799071
n02119022;n02119789;n02119789;n02119789;n02119789
n01677366;n01688243;n01688243;n01688243;n01688243
n02317335;n02321529;n02321529;n02321529;n01917289
n02966193;n04476259;n04522168;n04522168;n03535780
n04536866;n02992211;n02992211;n02992211;n02992211
n07734744;n12998815;n12998815;n12998815;n12998815
n01774750;n01775062;n01775062;n01775062;n01775062
n02823750;n07932039;n07932039;n07932039;n07892512
n02113624;n02113712;n02113712;n02113712;n02113712
n02114367;n02114855;n02114855;n02114855;n02114855
n04487394;n03110669;n03110669;n03110669;n03110669
n02056570;n04254120;n15075141;n04476259;n02051845
n04118538;n02799071;n02799071;n04540053;n04540053
n02190166;n02206856;n02206856;n02219486;n02256656
n02007558;n02012849;n02012849;n02012849;n02012849
n04591713;n07892512;n07892512;n07892512;n04579145
