Class-A;Class-B;Diff-CB;Class-Next;Diff-CN
 strawberry; pomegranate;0.6647987509118104; trifle;0.661240517378003
 peafowl; quill;0.9703635789778843; macaw;0.9713421180035249
 Labrador Retriever; Golden Retriever;0.7306397279325756; Flat-Coated Retriever;0.7500688521265124
 monarch butterfly; sulphur butterfly;0.9142234422719906; red admiral butterfly;0.910512353952472
 giant panda; brown bear;0.9333852415720594; teddy bear;0.9186761728279464
 Border Collie; collie;0.18440101969055833; Cardigan Welsh Corgi;0.4180912647796504
 spider web; European garden spider;0.4799047732292092; barn spider;0.5630155485544673
 Pembroke Welsh Corgi; Cardigan Welsh Corgi;0.5696552008530125; Australian Kelpie;0.7258600429962848
 scarf; poncho;0.6312512584801334; cardigan;0.664289924613795
 vase; drink pitcher;0.3380475721934636; plant pot;0.37993498197618464
 German Shepherd Dog; Malinois;0.6424496087414445; Norwegian Elkhound;0.6709202797413127
 tank; half-track;0.5087963042865158; amphibious vehicle;0.6066850362389231
 violin; cello;0.5021249106840696; upright piano;0.6527848347947384
 cucumber; zucchini;0.6313053955463693; spaghetti squash;0.7313810146215411
 cheetah; leopard;0.889973106176476; jaguar;0.9180013362117097
 orangutan; gorilla;0.8656567579435943; chimpanzee;0.8635279262149368
 missile; missile;0.09374166411924645; car mirror;0.4638133092740407
 soccer ball; rugby ball;0.9152689605928128; volleyball;0.9080611332592707
 lab coat; stethoscope;0.6503321977785163; beaker;0.6657259690819656
 tiger; tiger cat;0.796826204048848; jaguar;0.8500122302999079
 tennis ball; baseball;0.778965322713035; racket;0.7132109605650965
 skunk; badger;0.945602559050294; Great Pyrenees dog;0.9402131366191444
 lemon; orange;0.545202506227215; sulphur-crested cockatoo;0.6969887220547859
 Rottweiler; Black and Tan Coonhound;0.8005512485977669; Dobermann;0.7756836040050257
 espresso; coffee mug;0.5474790878489147; tea cup;0.5109103720798157
 canoe; paddle;0.8149998204503208; motorboat;0.9020610252819051
 praying mantis; stick insect;0.8189739894494413; cricket insect;0.83451505168734
 llama; arabian camel;0.9476956289000305; ram (adult male sheep);0.9338196889274605
 sandal; clogs;0.699326712639886; sneaker;0.6958921469444704
 electric guitar; acoustic guitar;0.5750385358999484; stage;0.5443017621054264
 bathtub; hot tub;0.04854886449640616; sink;0.31588969959422686
 Scottish Terrier; Giant Schnauzer;0.6800427319424216; West Highland White Terrier;0.6466408027413445
 parachute; balloon;0.9494492446706863; poke bonnet;0.9512186412249186
 sea lion; otter;0.9333890092711954; platypus;0.9259488907212543
 Beagle; Treeing Walker Coonhound;0.6921803935978096; Basset Hound;0.6511277449359476
 binoculars; loupe magnifying glass;0.6653496222184366; parking meter;0.645607818048755
 ice cream; chocolate syrup;0.5268460990369204; trifle;0.6251463569093904
 porcupine; beaver;0.9057881177261157; echidna;0.9085410088607545
 Cocker Spaniel; Sussex Spaniel;0.7520380700449459; English Springer Spaniel;0.7527106152683246
 pufferfish; eel;0.9410492838124738; lionfish;0.9153373894029739
